Nombres
Potencial hídrico de xilema
Potencial hídrico de hoja
Fotosíntesis
Conductancia estomática 
Transpiración 
Contenido volumétrico de agua en el suelo 
Temperatura foliar
Índice de área foliar 
pH
° Brix
Acidez titulable
Antocianinas-sulfuroso
Antocianinas-Adams
Taninos-metylcelulosa
Taninos-Adams
Color
Fenoles
SPP
LPP
TPP
